profiling SparseLO init
/home/peppe/Dropbox/phd/pb/COSMOMAP2/interfaces/linearoperators.py:130: RuntimeWarning: invalid value encountered in divide
  cond_num=np.abs(lambda_max/lambda_min)
/home/peppe/Dropbox/phd/pb/COSMOMAP2/interfaces/linearoperators.py:131: RuntimeWarning: invalid value encountered in less_equal
  mask=np.where(cond_num<=1.e3)[0]
         25035887 function calls (25035886 primitive calls) in 85.087 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   85.087   85.087 /home/peppe/Dropbox/phd/pb/COSMOMAP2/interfaces/linearoperators.py:139(__init__)
        1   69.127   69.127   85.087   85.087 /home/peppe/Dropbox/phd/pb/COSMOMAP2/interfaces/linearoperators.py:99(initializeweights)
 12517884   10.790    0.000   15.959    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:490(__next__)
 12517884    5.169    0.000    5.169    0.000 {next}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/warnings.py:24(_show_warning)
        2    0.000    0.000    0.000    0.000 /home/peppe/.local/lib/python2.7/site-packages/pyfits/core.py:100(formatwarning)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/warnings.py:36(formatwarning)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/linecache.py:13(getline)
      2/1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/linop/linop.py:141(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/linecache.py:33(getlines)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/linecache.py:68(updatecache)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/linop/linop.py:61(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1142(info)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1252(_log)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1239(makeRecord)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:242(__init__)
        2    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        4    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:487(__init__)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.where}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:392(asarray)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1273(handle)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1218(findCaller)
        1    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 {posix.stat}
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:104(splitext)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1305(callHandlers)
